"program_name",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,,,"min_pool_size"
"loopdb_2",98.26,54.93,42.79,40.92,37.99,38.13,37.02,36.44,35.71,35.29,35.95,35.76,34.35,34.21,34.88,36.5,36.95,38.07,39.17,40.35,41.53,,,14
"loopdb_3",126.49,69.86,51.43,48.1,45.39,45.92,44.12,43.54,42.92,42.75,42.74,42.04,41.18,40.21,40.85,44.03,45.2,45.77,46.97,47.52,48.37,,,14
"loopdb_4",153.11,84.71,62.21,55.09,52.13,52.9,50.98,50.69,50.12,49.92,49.77,48.95,48.11,47.2,47.7,51.75,54.05,53.95,55.14,55.53,56.12,,,14
"loopdb_5",176.69,99.76,72.74,61.94,58.55,59.62,57.36,57.24,56.71,57.04,56.82,55.75,54.92,54.16,54.64,59.38,61.22,62.11,63.55,63.59,64.13,,,14
"loopdb_6",203.01,114.57,82.44,69.04,65.18,66.38,63.53,63.48,62.95,63.21,63.49,63.08,61.49,60.59,61.18,67.38,69.16,69.96,71.58,72.11,72.35,,,14
"db_1_http_1",82.5,54.1,55.06,56.44,58.23,56.54,59.4,55.1,56.8,57.33,55.18,57.27,55.73,54.95,54.82,54.98,55.92,56.29,55.36,57.16,57.97,,,2
"http_1",56.98,54.53,54.64,55.93,55.23,53.54,53.1,53.96,54.69,53.84,55,53.43,54.48,54.7,53.34,53.94,55.09,53.88,53.89,56.02,57.58,,,7
"db_1_http_2",87.91,81.5,82.3,83.74,82.32,81.58,84.66,81.94,84.87,81.28,82.49,83.15,83.52,81.61,82.61,80.77,81.63,81.25,81.38,82.91,84.54,,,16
"http_2",79.96,81.88,82.17,85.21,80.92,80.81,82.02,79.79,82.49,81.76,81.36,82.25,83.21,81.08,82.01,81.3,79.92,81.29,80.9,82.42,81.47,,,8
"http_3",107.34,108.87,108.45,108.72,110.87,107.3,109.09,105.38,109.78,109.63,109.06,111.1,109.38,108.1,109.65,108.04,110.73,111.07,108.86,111.14,115.05,,,8
"http_1",56.98,54.53,54.64,55.93,55.23,53.54,53.1,53.96,54.01,54.12,54.23,54.32,54.3,54.21,54.34,54.6,55.09,55.12,55.31,56.02,57.58,,,7
"http_2",79.96,81.88,82.17,83.21,80.92,80.81,80.51,79.79,82.49,82.44,82.45,82.25,83.21,83.89,83.9,84.01,84.11,84.34,84.28,85.61,86.02,,,8
"http_3",107.34,108.87,108.45,108.72,110.87,107.3,109.09,105.21,109.53,109.41,109.4,109.28,110.01,110.21,110.91,111.21,111.2,111.23,111.31,113.12,113.87,,,8
"loop_http_1",79.98,81.86,82.31,83.01,82.12,81.11,80.71,79.69,82.11,82.45,82.56,82.32,83.33,83.54,83.81,84.11,84.15,84.24,84.27,85.28,86.32,,,8
"http_1_loop_http_1",107.12,108.87,108.57,109.04,110.43,108.05,109.33,106.02,109.21,109.43,109.42,109.32,110.01,110.21,110.43,111.26,111.28,111.23,111.28,112.76,114.27,,,8
"http_2_loop_http_1",138.08,138.68,138.7,139.21,141.13,139.71,139.42,137.11,139.34,139.25,139.56,139.63,140.14,140.44,140.62,141.43,141.41,141.86,141.88,143.21,144.99,,,8
"db_1",39.59,25.49,24.01,22.72,21.92,21.2,20.03,19.42,19.31,19.42,19.14,19.06,19.6,19.69,19.78,20.15,20.07,20,20.57,20.15,20.63,,,12
"db_2",98.26,54.93,42.79,40.92,37.99,38.13,37.02,36.44,35.71,35.29,35.95,35.76,34.35,34.21,34.88,36.5,36.95,38.07,39.17,40.35,41.53,,,14
"db_3",126.49,69.86,51.43,48.1,45.39,45.92,44.12,43.54,42.92,42.75,42.74,42.04,41.18,40.21,40.85,44.03,45.2,45.77,46.97,47.52,48.37,,,14
"db_4",153.11,84.71,62.21,55.09,52.13,52.9,50.98,50.69,50.12,49.92,49.77,48.95,48.11,47.2,47.7,51.75,54.05,53.95,55.14,55.53,56.12,,,14
"db_5",176.69,99.76,72.74,61.94,58.55,59.62,57.36,57.24,56.71,57.04,56.82,55.75,54.92,54.16,54.64,59.38,61.22,62.11,63.55,63.59,64.13,,,14
"db_6",203.01,114.57,82.44,69.04,65.18,66.38,63.53,63.48,62.95,63.21,63.49,63.08,61.49,60.59,61.18,67.38,69.16,69.96,71.58,72.11,72.35,,,14
"loop_db_1",126.49,69.86,51.43,48.1,45.39,45.92,44.12,43.54,42.92,42.75,42.74,42.04,41.18,40.21,40.85,44.03,45.2,45.77,46.97,47.52,48.37,,,14
"db_1_loop_db_1",153.11,84.71,62.21,55.09,52.13,52.9,50.98,50.69,50.12,49.92,49.77,48.95,48.11,47.2,47.7,51.75,54.05,53.95,55.14,55.53,56.12,,,14
"db_2_loop_db_1",176.69,99.76,72.74,61.94,58.55,59.62,57.36,57.24,56.71,57.04,56.82,55.75,54.92,54.16,54.64,59.38,61.22,62.11,63.55,63.59,64.13,,,14
